Registration Group,Support Item ID,Support Item,Variant Description,Variant ID,Support Item Description,Unit of Measure,Quote,Price,Price Control,Support Categories,Support Category Number
Accommodation/Tenancy,10,Transitional support,transitional support,01_001_0101_1_1,Transition to NDIS funding _ payment of rent and utility accounts. Short term payment as per participant plan,Each,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Assist Access/Maintain Employ,20,Employment support,individual employment support,10_016_0102_5_3,"Time limited on-the-job training & post placement support related to participant's disability that enables them to adjust & manage demands of the job & workplace environment, & to assist employers to successfully manage the participant's placement.",Hour,N,"55,55",Y,Finding and keeping a job,10
Assist Access/Maintain Employ,20,Employment support,employment preparation and support in a group,10_017_0102_5_3,"In a group setting, build capacity by providing skills training such as transport, time/financial management, self-care to support a participant to get a job post school. *assumes group of 3",Hour,N,"18,52",Y,Finding and keeping a job,10
Assist Access/Maintain Employ,20,Employment support,transition through school and to further education,13_030_0102_4_3,"Provision of skills training, advice, assistance with arrangements, orientation to assist a person with disability moving from school to further education",Hour,N,"56,61",Y,Improved learning,13
Assist Personal Activities,30,Assistance with self care,assistance with self-care - active overnight,01_002_0107_1_1,"Assistance with, or supervision of, personal tasks of daily living where  overnight support is needed and the care giver will not have the option to sleep",Hour,N,"47,75",Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities,40,Live-in carer support,assistance from live-in carer,01_003_0107_1_1,"A person lives in the house of, or travels with the participant and provides assistance with, and/or supervision of, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities,30,Assistance with self care,assistance with personal domestic activities,01_004_0107_1_1,Assist participant to undertake and/or develop skills to maintain their home environment where the participant owns their own home & has sole or substantial responsibility for its maintenance. Includes assisting participant to do basic house & yard work.,Hour,N,"40,6",Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities,30,Assistance with self care,assistance with self-care - night-time sleepover,01_010_0107_1_1,"Assistance with, or supervision of, personal tasks of daily living where overnight support is needed, but the care giver can sleep when not required to provide support.",Each,N,"186,4",Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities,30,Assistance with self care,assistance with self-care activities during daytime weekdays,01_011_0107_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,"42,79",Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities,30,Assistance with self care,assistance with self-care activities on Public Holidays,01_012_0107_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,"92,53",Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities,30,Assistance with self care,assistance with self-care activities on Saturdays,01_013_0107_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,"59,36",Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities,30,Assistance with self care,assistance with self-care activities on Sundays,01_014_0107_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,"75,96",Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities,30,Assistance with self care,assistance with self-care activities per weekday evening,01_015_0107_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,"46,93",Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities,30,Assistance with self care,"o/n monitoring of self-care - off site or onsite, on call (incl 1 hr assist)",01_017_0107_1_1,"Overnight on-call assistance with, or supervision of, personal tasks of daily living.",Each,Y,,N,Assistance with daily life (includes Supported Independent Living),1
